id,full_name,age,occupation,lga,ward,street,declared_income,property_value,business_owner,sector,compliance_score,created_at
16630,Carol Moore,57,Armed forces logistics/support/administrative officer,Shomolu,Ward 5 Shomolu,Street 4 Ward 5 Shomolu,7316658.0,15115067.6,True,Manufacturing,93.15,2023-12-22
16631,James Proctor,46,Training and development officer,Yaba,Ward 4 Yaba,Street 3 Ward 4 Yaba,1377060.0,5486674.2,True,Retail,69.58,2023-03-19
16632,Deanna Adams,47,"Scientist, product/process development",Alimosho,Ward 2 Alimosho,Street 9 Ward 2 Alimosho,4854070.0,18502474.17,True,Hospitality,77.2,2025-07-25
16633,Kevin Steele,63,Drilling engineer,Somolu,Ward 2 Somolu,Street 3 Ward 2 Somolu,5890129.5,10778066.19,False,Transport,45.65,2025-04-08
16634,Robert Brown DDS,42,Horticultural therapist,Shomolu,Ward 1 Shomolu,Street 7 Ward 1 Shomolu,435810.0,1106639.8,True,Manufacturing,40.46,2021-07-17
16635,Kerry Carter,38,Orthoptist,Apapa,Ward 3 Apapa,Street 8 Ward 3 Apapa,2026701.0,3259838.87,True,Real Estate,73.45,2023-05-01
16636,Laurie Horne,61,Theatre manager,Yaba,Ward 1 Yaba,Street 1 Ward 1 Yaba,5657008.0,9227484.75,False,Manufacturing,45.27,2022-10-19
16637,Tracy Bailey,53,Paramedic,Victoria Island,Ward 1 Victoria Island,Street 4 Ward 1 Victoria Island,5313548.0,9403485.27,False,Transport,44.06,2025-09-12
16638,Phillip Delgado,68,"Accountant, chartered",Mushin,Ward 2 Mushin,Street 5 Ward 2 Mushin,4439383.5,13376242.78,False,Retail,72.6,2025-07-03
16639,Jenna Wright,56,Solicitor,Badagry,Ward 1 Badagry,Street 7 Ward 1 Badagry,4594915.5,8145699.82,False,Real Estate,98.24,2020-02-19
16640,Patricia Norris,24,Media planner,Badagry,Ward 1 Badagry,Street 4 Ward 1 Badagry,6827836.5,12540514.2,True,Tech,83.8,2026-02-10
16641,Jonathan Smith,36,"Engineer, mining",Kosofe,Ward 5 Kosofe,Street 6 Ward 5 Kosofe,5784090.0,20193405.6,True,Retail,83.16,2023-08-28
16642,Karl Mathews,27,Industrial/product designer,Shomolu,Ward 5 Shomolu,Street 8 Ward 5 Shomolu,5934438.0,17781266.79,True,Tech,95.82,2020-06-03
16643,Christina Nunez,54,Technical sales engineer,Somolu,Ward 3 Somolu,Street 4 Ward 3 Somolu,4473397.5,9191286.49,False,Manufacturing,91.35,2022-10-09
16644,Chelsea Moore,21,Camera operator,Agege,Ward 4 Agege,Street 9 Ward 4 Agege,257891.0,563439.31,True,Retail,57.61,2023-01-29
16645,Sarah Harris,57,Art therapist,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 1 Ward 4 Ifako-Ijaiye,6499203.0,25900101.66,False,Manufacturing,79.18,2022-05-25
16646,Alexander Robertson,51,"Psychologist, educational",Victoria Island,Ward 1 Victoria Island,Street 9 Ward 1 Victoria Island,18135516.0,62657759.0,True,Real Estate,65.44,2020-03-12
16647,Amy Delgado,31,"Producer, radio",Ajah,Ward 1 Ajah,Street 7 Ward 1 Ajah,6855217.5,24403911.15,True,Transport,56.15,2024-04-16
16648,Edward Smith,59,Meteorologist,Yaba,Ward 1 Yaba,Street 10 Ward 1 Yaba,4591760.0,12847778.39,True,Retail,81.89,2020-03-14
16649,Brian Simmons,25,Surgeon,Agege,Ward 1 Agege,Street 10 Ward 1 Agege,1271984.0,2755925.29,False,Finance,73.03,2020-11-07
16650,Brittany James,21,Chiropractor,Somolu,Ward 5 Somolu,Street 6 Ward 5 Somolu,5479432.5,11773958.0,True,Real Estate,75.45,2021-08-28
16651,Amber Carrillo MD,67,Automotive engineer,Lekki,Ward 4 Lekki,Street 3 Ward 4 Lekki,3019060.0,8539187.25,True,Retail,48.71,2024-10-12
16652,Stacey James,29,"Engineer, maintenance",Epe,Ward 5 Epe,Street 4 Ward 5 Epe,3504342.0,9216524.62,True,Transport,73.63,2022-12-02
16653,Diane Meza,24,Radio broadcast assistant,Shomolu,Ward 3 Shomolu,Street 10 Ward 3 Shomolu,3119286.0,7553695.56,True,Real Estate,61.08,2021-11-29
16654,Karen Sanchez,46,Print production planner,Epe,Ward 3 Epe,Street 2 Ward 3 Epe,5499010.5,17154513.36,False,Real Estate,53.81,2024-02-07
16655,Christopher Ferguson,63,"Lighting technician, broadcasting/film/video",Alimosho,Ward 5 Alimosho,Street 2 Ward 5 Alimosho,2757308.0,7396565.48,False,Transport,62.43,2020-10-30
16656,Jennifer Noble,63,"Horticulturist, amenity",Epe,Ward 5 Epe,Street 6 Ward 5 Epe,7173625.5,22121502.81,True,Tech,52.68,2020-04-03
16657,Jeff Morris,56,Operations geologist,Agege,Ward 1 Agege,Street 10 Ward 1 Agege,4069175.0,8044133.69,True,Tech,47.45,2022-09-24
16658,Gina Bartlett,40,"Surveyor, commercial/residential",Somolu,Ward 5 Somolu,Street 5 Ward 5 Somolu,818581.5,2582568.09,True,Hospitality,86.3,2022-11-29
16659,Michelle Rodriguez,52,Radiation protection practitioner,Epe,Ward 5 Epe,Street 10 Ward 5 Epe,2396889.0,4364534.41,True,Retail,69.22,2021-10-19
16660,Stephanie Thomas,42,"Programmer, systems",Ajah,Ward 1 Ajah,Street 9 Ward 1 Ajah,6992206.5,17783304.76,True,Tech,83.38,2021-03-16
16661,Adam Stevens,45,Animator,Eti-Osa,Ward 1 Eti-Osa,Street 5 Ward 1 Eti-Osa,10370322.0,39410454.7,True,Retail,46.86,2022-11-23
16662,Keith Smith,27,Field seismologist,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 10 Ward 1 Oshodi-Isolo,6995368.5,16575840.76,False,Finance,70.81,2021-05-26
16663,Robert Gonzalez,63,Early years teacher,Yaba,Ward 3 Yaba,Street 9 Ward 3 Yaba,4289232.0,13941812.26,False,Finance,82.59,2022-02-27
16664,Roy Hanson,62,Toxicologist,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 6 Ward 4 Oshodi-Isolo,5439261.0,13523966.17,False,Real Estate,51.84,2022-06-11
16665,Laura Mitchell DDS,62,"Secretary, company",Lekki,Ward 2 Lekki,Street 4 Ward 2 Lekki,1905828.0,4364554.05,True,Tech,99.62,2021-08-29
16666,Morgan Kim,59,Sports development officer,Somolu,Ward 3 Somolu,Street 1 Ward 3 Somolu,1349310.0,3920028.64,True,Tech,51.08,2021-06-21
16667,Sabrina Thomas,29,Aeronautical engineer,Alimosho,Ward 2 Alimosho,Street 1 Ward 2 Alimosho,4281670.0,7712857.64,False,Transport,49.95,2020-03-20
16668,Sean Jones,60,Technical brewer,Epe,Ward 3 Epe,Street 10 Ward 3 Epe,3356847.0,11753085.13,False,Transport,48.8,2025-02-06
16669,Natasha Alvarado,36,Company secretary,Mushin,Ward 3 Mushin,Street 10 Ward 3 Mushin,2606758.5,6932125.66,False,Manufacturing,80.95,2023-03-23
16670,Louis White,61,Commercial art gallery manager,Ikeja,Ward 3 Ikeja,Street 1 Ward 3 Ikeja,10876102.5,31569549.59,True,Transport,46.78,2020-01-07
16671,Jacob Jackson,30,Tax adviser,Surulere,Ward 2 Surulere,Street 7 Ward 2 Surulere,1258128.0,3498470.54,False,Real Estate,50.2,2021-06-01
16672,Virginia Martinez,42,Civil Service fast streamer,Ajah,Ward 3 Ajah,Street 2 Ward 3 Ajah,4965276.0,13373892.63,True,Finance,88.24,2021-06-19
16673,Amy Moyer,21,Dancer,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 10 Ward 1 Oshodi-Isolo,3504853.5,12992169.1,False,Tech,48.79,2020-03-02
16674,Tyler Morgan,53,Immunologist,Alimosho,Ward 3 Alimosho,Street 2 Ward 3 Alimosho,1209480.0,1847229.08,True,Transport,43.19,2021-10-01
16675,Andrea Jensen,63,"Engineer, materials",Kosofe,Ward 2 Kosofe,Street 7 Ward 2 Kosofe,5110741.5,13406489.66,False,Retail,73.74,2023-01-16
16676,James Diaz,57,Professor Emeritus,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 5 Ward 4 Ifako-Ijaiye,4949967.0,18128255.11,False,Manufacturing,42.89,2023-03-24
16677,Courtney Jones,66,Advertising account executive,Ajah,Ward 5 Ajah,Street 10 Ward 5 Ajah,5188245.0,8589926.1,True,Tech,71.05,2023-06-01
16678,Christopher Tucker,56,"Therapist, art",Mushin,Ward 1 Mushin,Street 5 Ward 1 Mushin,5000194.5,16437442.33,True,Transport,93.71,2022-05-14
16679,Abigail Gilbert,41,Multimedia programmer,Ifako-Ijaiye,Ward 5 Ifako-Ijaiye,Street 7 Ward 5 Ifako-Ijaiye,6660417.0,21605156.27,True,Manufacturing,61.09,2025-07-12
16680,Jason Mcdaniel,61,"Therapist, art",Shomolu,Ward 5 Shomolu,Street 6 Ward 5 Shomolu,5271444.0,9397536.12,True,Real Estate,97.77,2026-02-27
16681,Paul Meyer,47,"Radiographer, therapeutic",Alimosho,Ward 5 Alimosho,Street 9 Ward 5 Alimosho,858014.0,2365865.05,False,Transport,65.85,2021-07-14
16682,Gabriel Warner,62,Film/video editor,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 7 Ward 1 Ifako-Ijaiye,994668.0,3036643.36,False,Real Estate,70.18,2020-03-27
16683,Mark Salazar,62,Medical sales representative,Ikorodu,Ward 3 Ikorodu,Street 4 Ward 3 Ikorodu,2092830.0,8042119.41,True,Tech,74.95,2020-11-01
16684,Virginia Haley,25,Photographer,Victoria Island,Ward 1 Victoria Island,Street 3 Ward 1 Victoria Island,11653892.0,27669221.29,True,Tech,58.84,2022-10-17
16685,Thomas Kennedy,43,"Pharmacist, community",Epe,Ward 2 Epe,Street 10 Ward 2 Epe,6563505.0,18577773.5,True,Retail,89.5,2023-04-05
16686,Wanda Griffin,52,Hydrologist,Amuwo-Odofin,Ward 5 Amuwo-Odofin,Street 3 Ward 5 Amuwo-Odofin,1917603.0,3771421.76,False,Real Estate,95.77,2020-10-04
16687,Joshua Peck,59,Counselling psychologist,Ikorodu,Ward 4 Ikorodu,Street 1 Ward 4 Ikorodu,2257828.0,3737463.75,False,Transport,84.66,2025-06-01
16688,Justin Jones,52,Magazine features editor,Mushin,Ward 2 Mushin,Street 4 Ward 2 Mushin,4032607.5,13405856.37,True,Real Estate,80.1,2023-05-10
16689,Amy Martin,30,Fish farm manager,Ajah,Ward 4 Ajah,Street 10 Ward 4 Ajah,812584.5,1228538.64,True,Hospitality,69.68,2020-04-22
16690,Robert Greene,48,"Production assistant, television",Epe,Ward 2 Epe,Street 10 Ward 2 Epe,5913363.0,20241682.95,True,Finance,51.78,2020-03-24
16691,Angela Flores,46,Public affairs consultant,Yaba,Ward 3 Yaba,Street 10 Ward 3 Yaba,1273592.0,4909828.64,False,Real Estate,97.51,2025-01-20
16692,Gina Vasquez,69,Broadcast presenter,Somolu,Ward 1 Somolu,Street 8 Ward 1 Somolu,2640760.5,5999191.96,False,Transport,98.87,2023-08-19
16693,Rebecca Mueller,55,Human resources officer,Apapa,Ward 2 Apapa,Street 1 Ward 2 Apapa,4055071.5,15875669.63,True,Finance,58.56,2023-10-17
16694,Jon Stevens,59,Clothing/textile technologist,Ifako-Ijaiye,Ward 5 Ifako-Ijaiye,Street 5 Ward 5 Ifako-Ijaiye,6797089.5,15577290.56,False,Tech,56.03,2022-11-14
16695,Jennifer Reed,65,Ophthalmologist,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 6 Ward 3 Amuwo-Odofin,789268.5,2857145.16,True,Retail,60.58,2020-12-26
16696,Charles Hendrix,67,Ambulance person,Victoria Island,Ward 1 Victoria Island,Street 4 Ward 1 Victoria Island,15608756.0,56880495.94,True,Manufacturing,93.4,2025-10-08
16697,Brian Vasquez,57,Oceanographer,Badagry,Ward 4 Badagry,Street 2 Ward 4 Badagry,1263361.5,3096612.9,True,Retail,66.73,2020-03-12
16698,Amber Medina,63,Dramatherapist,Victoria Island,Ward 2 Victoria Island,Street 5 Ward 2 Victoria Island,11268232.0,20101103.97,False,Hospitality,64.6,2023-07-24
16699,Shannon Lloyd,53,Phytotherapist,Badagry,Ward 3 Badagry,Street 7 Ward 3 Badagry,2248336.5,8237077.81,True,Manufacturing,75.46,2020-06-18
16700,Cynthia Cunningham,66,Sales executive,Surulere,Ward 3 Surulere,Street 6 Ward 3 Surulere,5865190.0,18064355.87,True,Retail,84.99,2024-10-20
16701,Sandy Dunlap,24,Theme park manager,Victoria Island,Ward 2 Victoria Island,Street 6 Ward 2 Victoria Island,3681572.0,14703901.03,True,Transport,86.69,2020-08-02
16702,Brandy Hubbard,48,Television floor manager,Ajah,Ward 5 Ajah,Street 8 Ward 5 Ajah,2293389.0,5689055.52,True,Tech,46.51,2025-02-03
16703,Stephen Williams,25,Food technologist,Ikorodu,Ward 1 Ikorodu,Street 6 Ward 1 Ikorodu,535534.0,1319029.28,True,Real Estate,56.42,2020-11-04
16704,Katrina Brown,30,"Surveyor, planning and development",Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 4 Ward 2 Ifako-Ijaiye,3093976.5,6830778.98,True,Manufacturing,95.49,2024-06-25
16705,Monica Lowery,60,Sports administrator,Lekki,Ward 2 Lekki,Street 2 Ward 2 Lekki,19876892.0,66031966.15,True,Transport,93.68,2023-06-10
16706,Denise Brown,34,Chartered public finance accountant,Shomolu,Ward 1 Shomolu,Street 3 Ward 1 Shomolu,2216253.0,7648928.32,True,Retail,52.49,2025-12-18
16707,Caleb Edwards,67,"Psychologist, counselling",Amuwo-Odofin,Ward 1 Amuwo-Odofin,Street 2 Ward 1 Amuwo-Odofin,2068887.0,6872664.02,True,Finance,94.75,2024-09-02
16708,Troy Davis,39,Economist,Badagry,Ward 2 Badagry,Street 8 Ward 2 Badagry,1268590.5,4636818.18,True,Finance,88.92,2024-06-08
16709,Stephen Reyes,29,"Librarian, academic",Surulere,Ward 1 Surulere,Street 3 Ward 1 Surulere,5705086.0,10339405.92,True,Hospitality,94.4,2025-07-26
16710,Rebecca Soto,67,Armed forces logistics/support/administrative officer,Surulere,Ward 3 Surulere,Street 7 Ward 3 Surulere,836382.0,1560086.12,True,Real Estate,50.07,2022-04-26
16711,Chloe Patel,50,IT technical support officer,Amuwo-Odofin,Ward 3 Amuwo-Odofin,Street 10 Ward 3 Amuwo-Odofin,6696867.0,23878995.37,False,Finance,54.62,2022-01-09
16712,Teresa Hill,26,Manufacturing engineer,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 6 Ward 5 Oshodi-Isolo,2416035.0,7803184.65,False,Tech,75.33,2022-01-23
16713,Vickie Powers,62,Personal assistant,Agege,Ward 5 Agege,Street 6 Ward 5 Agege,734324.0,1212532.42,True,Real Estate,89.22,2022-09-30
16714,Rachel Harris,36,"Programmer, systems",Victoria Island,Ward 2 Victoria Island,Street 7 Ward 2 Victoria Island,10310152.0,25773826.25,False,Tech,40.97,2020-07-20
16715,Joanna Williams,36,Police officer,Epe,Ward 5 Epe,Street 7 Ward 5 Epe,3641842.5,6566469.28,True,Real Estate,97.16,2024-08-21
16716,Matthew Taylor,39,Visual merchandiser,Ikorodu,Ward 4 Ikorodu,Street 9 Ward 4 Ikorodu,2985832.0,11726043.2,False,Tech,91.91,2020-02-23
16717,Laurie King,64,"Clinical scientist, histocompatibility and immunogenetics",Epe,Ward 4 Epe,Street 6 Ward 4 Epe,6939811.5,19700312.54,False,Tech,83.56,2023-08-23
16718,Anna Lambert,26,Estate agent,Apapa,Ward 2 Apapa,Street 5 Ward 2 Apapa,3013840.5,5877589.74,False,Hospitality,84.96,2024-08-09
16719,James Stewart,24,"Scientist, research (medical)",Shomolu,Ward 1 Shomolu,Street 9 Ward 1 Shomolu,6881143.5,11873309.17,False,Tech,74.18,2021-08-14
16720,James Parks,48,Technical author,Apapa,Ward 4 Apapa,Street 6 Ward 4 Apapa,3831976.5,9116098.96,True,Real Estate,76.56,2022-05-22
16721,Johnny Leblanc,56,Broadcast engineer,Mushin,Ward 2 Mushin,Street 6 Ward 2 Mushin,1240945.5,4207045.54,True,Manufacturing,49.01,2021-02-04
16722,Emily Turner,52,"Exhibitions officer, museum/gallery",Ajah,Ward 2 Ajah,Street 10 Ward 2 Ajah,1570857.0,2861493.64,True,Retail,78.21,2025-10-18
16723,Kayla Jones,47,Homeopath,Ikorodu,Ward 2 Ikorodu,Street 7 Ward 2 Ikorodu,4041395.0,8052250.41,True,Real Estate,48.03,2022-09-29
16724,Cynthia Kennedy,62,"Accountant, chartered management",Epe,Ward 1 Epe,Street 6 Ward 1 Epe,4433709.0,9095219.88,True,Real Estate,97.01,2023-12-24
16725,Michael Wilson,65,"Producer, television/film/video",Apapa,Ward 1 Apapa,Street 6 Ward 1 Apapa,2006641.5,5648117.4,False,Manufacturing,98.72,2020-09-02
16726,Jared Dunlap,30,Quantity surveyor,Badagry,Ward 5 Badagry,Street 7 Ward 5 Badagry,6237766.5,24553221.08,False,Retail,52.1,2020-11-09
16727,Teresa Johnson,29,"Scientist, research (medical)",Surulere,Ward 2 Surulere,Street 5 Ward 2 Surulere,4323566.0,11632755.51,True,Hospitality,67.19,2022-07-13
16728,Suzanne Washington,22,Geoscientist,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 9 Ward 2 Oshodi-Isolo,7393735.5,16279519.84,True,Finance,98.62,2025-03-13
16729,Joseph James,31,Advertising account executive,Lekki,Ward 4 Lekki,Street 10 Ward 4 Lekki,14896896.0,26507950.3,False,Finance,65.57,2024-09-19
16730,Joshua Mcintyre,27,Retail merchandiser,Ikeja,Ward 3 Ikeja,Street 8 Ward 3 Ikeja,11856880.0,30176742.26,False,Hospitality,58.92,2024-03-05
16731,David Johnson,58,Human resources officer,Kosofe,Ward 1 Kosofe,Street 5 Ward 1 Kosofe,7355910.0,12408299.89,True,Retail,91.17,2021-12-14
16732,Tony Murphy,27,Financial manager,Ifako-Ijaiye,Ward 2 Ifako-Ijaiye,Street 4 Ward 2 Ifako-Ijaiye,1696620.0,5833271.7,False,Manufacturing,42.76,2024-04-05
16733,Nathan Morris,27,"Designer, exhibition/display",Kosofe,Ward 4 Kosofe,Street 5 Ward 4 Kosofe,501529.5,1686499.98,False,Tech,77.58,2023-06-21
16734,Betty Phillips,43,Senior tax professional/tax inspector,Eti-Osa,Ward 1 Eti-Osa,Street 5 Ward 1 Eti-Osa,12120279.0,46769160.78,True,Tech,81.22,2025-12-29
16735,Brandon Campbell,32,Pensions consultant,Ikeja,Ward 5 Ikeja,Street 9 Ward 5 Ikeja,10730955.0,28132923.54,False,Retail,88.78,2025-07-20
16736,Bonnie Dunn,52,Ergonomist,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 8 Ward 4 Ifako-Ijaiye,4644024.0,15320389.92,True,Retail,58.01,2021-01-17
16737,Tara Lee,58,Animator,Amuwo-Odofin,Ward 2 Amuwo-Odofin,Street 1 Ward 2 Amuwo-Odofin,3041148.0,9988769.02,True,Finance,85.46,2024-06-30
16738,Amy Davis,31,Leisure centre manager,Surulere,Ward 3 Surulere,Street 6 Ward 3 Surulere,9441686.0,27601497.77,False,Hospitality,89.27,2020-10-03
16739,Christian Howard,66,Warden/ranger,Oshodi-Isolo,Ward 1 Oshodi-Isolo,Street 2 Ward 1 Oshodi-Isolo,5667855.0,9178367.33,True,Real Estate,73.13,2022-08-11
16740,Tiffany Miller,46,"Engineer, agricultural",Victoria Island,Ward 3 Victoria Island,Street 5 Ward 3 Victoria Island,8593584.0,17822412.66,False,Tech,58.93,2025-07-08
16741,Michael Williams,65,Food technologist,Kosofe,Ward 1 Kosofe,Street 1 Ward 1 Kosofe,7222524.0,15469257.06,True,Retail,62.82,2024-11-12
16742,Stephanie Sandoval,49,Management consultant,Apapa,Ward 1 Apapa,Street 1 Ward 1 Apapa,4353324.0,9242277.42,True,Hospitality,42.57,2021-12-09
16743,Kyle Cunningham,50,Industrial buyer,Epe,Ward 4 Epe,Street 8 Ward 4 Epe,3296406.0,5796887.13,False,Transport,56.5,2021-11-07
16744,Diana Warren,38,Horticultural therapist,Somolu,Ward 2 Somolu,Street 9 Ward 2 Somolu,4311568.5,12304750.32,False,Real Estate,82.9,2025-03-28
16745,Chad Murphy,54,Water quality scientist,Alimosho,Ward 5 Alimosho,Street 10 Ward 5 Alimosho,3346431.0,6469263.57,True,Real Estate,47.19,2025-05-26
16746,Brianna Day,29,Chartered certified accountant,Somolu,Ward 2 Somolu,Street 8 Ward 2 Somolu,420177.0,1390527.2,False,Transport,99.14,2025-11-20
16747,Shirley Norton,52,Estate manager/land agent,Lekki,Ward 2 Lekki,Street 10 Ward 2 Lekki,17373140.0,43776526.33,False,Manufacturing,77.19,2024-01-24
16748,Shannon Gross,34,"Psychologist, counselling",Eti-Osa,Ward 3 Eti-Osa,Street 5 Ward 3 Eti-Osa,6432486.0,18474722.05,False,Finance,68.35,2025-01-04
16749,Alyssa Kelly,50,Nutritional therapist,Victoria Island,Ward 2 Victoria Island,Street 7 Ward 2 Victoria Island,12453656.0,43871520.58,False,Hospitality,51.95,2024-11-06
16750,Donna Wagner,56,Social worker,Badagry,Ward 3 Badagry,Street 5 Ward 3 Badagry,7213696.5,12252737.13,True,Hospitality,48.8,2025-08-16
16751,Walter Williams,48,Drilling engineer,Mushin,Ward 2 Mushin,Street 3 Ward 2 Mushin,4454836.5,14290851.5,False,Manufacturing,99.09,2023-05-18
16752,Kara Hernandez,43,Adult guidance worker,Yaba,Ward 5 Yaba,Street 6 Ward 5 Yaba,2284488.0,5818954.67,False,Real Estate,44.18,2023-10-26
16753,Rachel Hendricks,46,Dance movement psychotherapist,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 9 Ward 4 Ifako-Ijaiye,6044977.5,16583367.42,False,Manufacturing,64.54,2022-01-23
16754,Shawn Jackson,54,Sport and exercise psychologist,Oshodi-Isolo,Ward 3 Oshodi-Isolo,Street 10 Ward 3 Oshodi-Isolo,6377421.0,23019744.12,False,Retail,92.77,2020-02-24
16755,Adam Myers,41,Warden/ranger,Somolu,Ward 5 Somolu,Street 10 Ward 5 Somolu,6724537.5,10543076.32,False,Tech,99.41,2026-02-16
16756,Brittany Webb,70,Actuary,Eti-Osa,Ward 3 Eti-Osa,Street 2 Ward 3 Eti-Osa,6704949.0,20093164.79,True,Tech,48.93,2020-12-22
16757,Christopher Evans,25,Television production assistant,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 3 Ward 4 Ifako-Ijaiye,7016287.5,24257168.09,False,Hospitality,64.37,2025-12-15
16758,Richard Anderson,39,Chief Financial Officer,Victoria Island,Ward 3 Victoria Island,Street 10 Ward 3 Victoria Island,6313996.0,18276028.97,True,Hospitality,50.6,2020-01-16
16759,Kenneth Perez,45,Insurance underwriter,Yaba,Ward 2 Yaba,Street 5 Ward 2 Yaba,3459468.0,10411474.75,False,Tech,64.16,2024-11-28
16760,Catherine Maldonado,61,"Psychotherapist, child",Agege,Ward 5 Agege,Street 9 Ward 5 Agege,668893.0,1622627.55,False,Hospitality,45.52,2025-02-26
16761,Hannah Gardner,58,Physiotherapist,Agege,Ward 3 Agege,Street 6 Ward 3 Agege,422478.0,1229845.55,True,Hospitality,73.32,2025-07-29
16762,Grace Hanna,55,Fashion designer,Victoria Island,Ward 5 Victoria Island,Street 2 Ward 5 Victoria Island,5449188.0,20476983.68,True,Manufacturing,64.87,2023-12-20
16763,Michele Willis,48,Rural practice surveyor,Oshodi-Isolo,Ward 5 Oshodi-Isolo,Street 3 Ward 5 Oshodi-Isolo,5976096.0,17082354.55,False,Manufacturing,57.54,2026-01-18
16764,Caroline Jones,48,Corporate investment banker,Eti-Osa,Ward 1 Eti-Osa,Street 3 Ward 1 Eti-Osa,13085169.0,36703277.49,False,Tech,67.14,2024-09-21
16765,Kimberly Benton,42,"Surveyor, quantity",Lekki,Ward 1 Lekki,Street 1 Ward 1 Lekki,16425584.0,57808968.89,True,Transport,70.8,2025-11-22
16766,Christina Castaneda,66,Quantity surveyor,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 9 Ward 1 Ifako-Ijaiye,5271529.5,7980679.82,False,Hospitality,83.15,2024-05-03
16767,Diane Wolf,38,Field seismologist,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 10 Ward 1 Ifako-Ijaiye,1709947.5,4545209.37,True,Retail,46.67,2024-04-08
16768,Angela Mitchell,70,Microbiologist,Mushin,Ward 2 Mushin,Street 5 Ward 2 Mushin,646690.5,1728930.1,True,Retail,83.54,2021-09-01
16769,Amber Stanley,70,Print production planner,Somolu,Ward 2 Somolu,Street 10 Ward 2 Somolu,5416152.0,20002243.57,False,Manufacturing,57.82,2020-12-06
16770,Barbara Byrd,22,Production engineer,Badagry,Ward 5 Badagry,Street 2 Ward 5 Badagry,4849576.5,11116434.79,True,Tech,43.72,2024-02-01
16771,Victoria Banks,43,Horticultural consultant,Badagry,Ward 4 Badagry,Street 10 Ward 4 Badagry,7428631.5,25962609.08,True,Transport,89.44,2025-06-06
16772,Deborah Cummings,51,Textile designer,Agege,Ward 5 Agege,Street 6 Ward 5 Agege,1415031.0,2733579.23,True,Tech,65.9,2020-05-02
16773,Alexandra Roy,40,"Psychologist, sport and exercise",Agege,Ward 2 Agege,Street 10 Ward 2 Agege,4321138.0,8137990.03,True,Finance,52.18,2023-07-22
16774,Richard Love,43,Biomedical engineer,Ifako-Ijaiye,Ward 1 Ifako-Ijaiye,Street 2 Ward 1 Ifako-Ijaiye,7310476.5,17173046.66,True,Hospitality,57.17,2023-03-16
16775,Susan Joseph,22,Copy,Epe,Ward 3 Epe,Street 10 Ward 3 Epe,5986653.0,20328213.3,True,Manufacturing,76.58,2025-04-22
16776,Brett Gonzales,44,Arts development officer,Agege,Ward 4 Agege,Street 4 Ward 4 Agege,4322108.0,17027985.27,True,Retail,74.39,2022-09-20
16777,Kevin Wheeler,27,"Geologist, wellsite",Agege,Ward 4 Agege,Street 7 Ward 4 Agege,2312732.0,8473964.87,True,Real Estate,61.18,2023-08-10
16778,Christina Carlson,28,"Designer, interior/spatial",Lekki,Ward 2 Lekki,Street 8 Ward 2 Lekki,6839324.0,15063784.9,False,Real Estate,68.45,2022-01-07
16779,Brenda Joseph,37,Radiation protection practitioner,Eti-Osa,Ward 2 Eti-Osa,Street 2 Ward 2 Eti-Osa,12652839.0,31950791.56,True,Hospitality,68.89,2021-11-17
16780,Wesley Mcbride,35,Games developer,Apapa,Ward 5 Apapa,Street 6 Ward 5 Apapa,1113532.5,3741476.28,True,Manufacturing,73.91,2023-01-02
16781,Jessica Marshall,43,Archaeologist,Ikeja,Ward 3 Ikeja,Street 1 Ward 3 Ikeja,2529332.5,8516224.29,True,Retail,87.66,2020-06-16
16782,Sabrina Simpson DVM,49,Counsellor,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 1 Ward 3 Ifako-Ijaiye,2431018.5,8470776.09,True,Retail,98.15,2023-03-12
16783,Roy Brown,67,Radio producer,Ajah,Ward 3 Ajah,Street 4 Ward 3 Ajah,5802346.5,9694448.15,True,Retail,85.98,2025-04-26
16784,Michelle Ferguson,27,"Sound technician, broadcasting/film/video",Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 10 Ward 4 Ifako-Ijaiye,4159464.0,13160871.95,False,Manufacturing,61.26,2020-04-24
16785,John Long,33,"Engineer, chemical",Ikeja,Ward 5 Ikeja,Street 6 Ward 5 Ikeja,3235892.5,5021009.51,True,Finance,83.21,2024-09-28
16786,Andrew Mcclure,51,"Editor, commissioning",Alimosho,Ward 3 Alimosho,Street 8 Ward 3 Alimosho,3070168.0,12235542.9,False,Tech,53.49,2023-02-05
